m	skills	        qno	seed
14	0,5,6,7,8,9,15,16,18,20,21,24,25,26,	969	seed=26
14	0,2,3,6,7,9,12,16,18,19,20,23,24,26,	849	seed=27
14	0,2,5,6,11,12,15,16,17,18,21,22,24,26,	824	seed=28
14	0,3,8,10,11,12,13,15,20,21,22,23,25,26,	813	seed=29
14	2,4,5,6,7,12,13,16,18,19,20,21,22,24,	889	seed=30
14	0,1,2,4,5,9,12,15,16,17,20,21,25,26,	791	seed=31
14	0,1,2,4,5,9,10,14,15,17,18,20,22,25,	835	seed=32
14	0,3,4,10,12,13,15,17,20,21,22,24,25,26,	518	seed=33
14	1,4,5,6,9,11,13,15,16,18,21,22,24,26,	845	seed=34
14	2,3,5,8,9,12,13,14,16,17,18,19,21,23,	963	seed=35
14	0,3,6,10,11,12,14,16,17,19,20,21,22,24,	719	seed=36
14	1,4,5,7,11,12,13,14,16,17,19,22,23,26,	837	seed=37
14	0,1,2,3,4,5,13,15,17,19,20,23,24,26,	830	seed=38
14	5,6,7,8,10,13,14,15,16,19,20,21,22,25,	926	seed=39
14	1,5,8,9,10,12,14,17,18,19,20,24,25,26,	928	seed=40
14	1,2,3,4,6,7,10,12,17,19,20,24,25,26,	717	seed=41
14	0,6,7,8,9,10,14,16,17,20,22,23,24,25,	913	seed=42
14	0,3,6,7,8,9,13,15,16,18,19,20,22,26,	900	seed=43
14	0,3,6,7,10,11,12,15,18,19,21,22,25,26,	758	seed=44
14	1,4,6,9,12,13,14,15,16,18,19,21,22,26,	747	seed=45
14	0,1,2,3,4,6,7,8,12,17,20,21,22,26,	843	seed=46
14	0,2,5,8,9,10,11,12,13,17,19,20,22,26,	905	seed=47
14	0,1,3,5,7,10,11,14,15,17,19,20,21,25,	858	seed=48
14	1,2,4,5,6,9,13,16,17,18,21,24,25,26,	850	seed=49
14	0,1,2,4,7,10,11,12,13,18,20,22,24,25,	622	seed=50
14	2,4,5,7,9,11,13,14,16,17,20,21,22,25,	858	seed=51
14	1,5,6,7,8,9,10,11,13,20,21,22,24,25,	958	seed=52
14	0,1,2,3,5,6,8,10,12,17,19,20,23,26,	923	seed=53
14	2,3,4,5,6,9,11,13,14,17,18,21,22,23,	896	seed=54
14	0,1,2,3,6,7,10,11,12,16,19,20,25,26,	749	seed=55
14	0,2,4,9,10,11,12,18,19,20,21,23,25,26,	733	seed=56
14	2,6,8,10,15,17,18,19,21,22,23,24,25,26,	817	seed=57
14	0,1,2,5,7,8,9,11,12,14,19,21,24,26,	962	seed=58
14	3,4,6,9,10,12,13,14,15,16,17,20,23,26,	732	seed=59
14	2,7,8,9,11,12,14,15,16,17,19,20,22,23,	906	seed=60
14	0,1,2,4,5,6,11,12,13,17,21,23,24,26,	816	seed=61
14	2,3,5,6,7,8,9,11,12,13,18,21,23,25,	1000	seed=62
14	0,3,5,9,10,11,13,14,16,17,19,20,25,26,	834	seed=63
14	0,2,3,4,5,8,9,12,17,18,20,22,23,25,	963	seed=64
14	0,1,5,6,7,8,13,15,18,19,20,22,24,25,	941	seed=65
14	0,1,3,4,8,10,13,14,16,17,21,22,23,26,	822	seed=66
14	2,3,4,5,8,11,14,17,18,19,22,23,24,26,	952	seed=67
14	0,1,2,3,7,9,12,16,17,18,21,22,23,26,	735	seed=68
14	0,1,3,4,6,7,9,10,12,13,17,18,23,26,	781	seed=69
14	0,1,4,5,6,7,10,13,14,16,17,19,21,23,	873	seed=70
14	1,5,6,7,12,13,14,15,18,19,21,22,23,25,	874	seed=71
14	0,1,4,9,10,12,15,16,19,20,21,24,25,26,	649	seed=72
14	0,1,4,5,10,11,13,14,15,18,19,21,25,26,	803	seed=73
14	0,1,3,4,6,7,8,9,10,11,17,21,22,24,	897	seed=74
14	0,3,4,7,9,10,11,12,13,17,19,20,21,22,	744	seed=75
14	1,2,3,6,9,10,11,12,17,18,19,21,22,24,	777	seed=76
14	0,2,3,5,8,10,11,12,14,15,17,18,19,26,	934	seed=77
14	0,1,5,6,7,9,10,11,13,15,16,22,23,26,	890	seed=78
14	2,9,11,12,14,15,16,17,18,21,22,24,25,26,	665	seed=79
14	1,2,3,4,7,10,11,12,13,14,15,19,21,23,	697	seed=80
14	1,3,6,7,8,9,10,11,12,16,19,23,24,25,	917	seed=81
14	0,1,3,4,7,10,15,16,20,21,22,23,24,26,	634	seed=82
14	0,2,4,6,9,12,13,14,17,18,19,21,22,26,	781	seed=83
14	0,3,4,6,7,8,13,14,15,18,19,22,25,26,	882	seed=84
14	1,4,6,9,11,12,15,17,18,19,22,24,25,26,	725	seed=85
14	1,5,6,7,8,10,12,14,17,18,19,20,24,25,	946	seed=86
14	0,1,3,4,7,9,12,13,14,16,19,20,25,26,	752	seed=87
14	0,2,4,5,9,11,13,15,16,17,18,20,24,26,	844	seed=88
14	1,2,6,7,10,11,12,13,14,15,17,23,25,26,	675	seed=89
14	2,4,5,6,7,9,11,13,17,19,21,22,25,26,	904	seed=90
14	0,1,3,4,5,10,14,15,17,19,20,22,23,24,	839	seed=91
14	1,3,4,6,8,11,13,14,16,17,18,20,23,24,	875	seed=92
14	0,1,3,4,5,7,11,13,14,19,22,23,24,26,	889	seed=93
14	1,2,3,5,7,8,11,14,15,16,19,21,23,24,	965	seed=94
14	0,2,3,5,8,9,14,15,17,18,21,23,24,26,	961	seed=95
14	3,7,8,9,10,13,15,16,17,19,20,22,24,25,	858	seed=96
14	0,1,2,4,5,7,12,14,18,19,20,22,23,26,	878	seed=97
14	1,2,5,6,8,10,12,13,14,16,18,19,21,24,	910	seed=98
14	0,3,4,6,7,9,10,14,18,19,21,22,25,26,	823	seed=99
14	1,2,5,8,9,10,12,17,18,19,20,21,25,26,	913	seed=100
16	0,1,4,5,9,10,11,12,14,15,16,18,22,23,24,26,	871	seed=1
16	0,1,3,6,8,9,10,12,14,16,18,19,21,22,25,26,	878	seed=2
16	2,3,4,5,8,10,12,15,16,17,20,21,22,23,25,26,	911	seed=3
16	0,2,3,4,6,7,8,12,16,17,18,19,21,22,24,26,	887	seed=4
16	0,1,2,6,7,8,9,10,13,15,17,20,21,23,25,26,	894	seed=5
16	0,1,4,5,6,11,13,14,15,16,17,20,21,22,25,26,	794	seed=6
16	1,3,4,5,8,10,11,12,14,15,20,21,22,24,25,26,	903	seed=7
16	0,1,2,3,4,6,8,10,11,13,14,15,19,22,23,24,	871	seed=8
16	0,1,3,5,7,8,9,10,11,12,17,18,19,20,22,25,	983	seed=9
16	0,1,4,7,9,10,11,12,15,16,17,18,20,21,23,25,	733	seed=10
16	0,4,5,6,7,8,10,12,13,15,17,20,22,23,24,26,	945	seed=11
16	0,1,2,3,5,7,8,11,15,16,19,20,21,24,25,26,	953	seed=12
16	0,1,2,3,4,5,6,9,10,13,16,18,19,21,25,26,	887	seed=13
16	0,2,3,4,5,7,8,9,12,13,16,17,19,20,25,26,	960	seed=14
16	0,3,4,5,6,9,11,13,14,15,16,17,18,22,23,24,	905	seed=15
16	0,2,3,4,5,9,11,12,13,14,15,18,19,20,22,24,	902	seed=16
16	0,1,3,8,10,13,14,15,16,17,18,19,20,22,24,25,	836	seed=17
16	0,1,2,3,4,5,7,11,12,14,15,18,20,23,25,26,	867	seed=18
16	0,3,4,6,7,9,11,12,14,15,16,17,19,23,25,26,	848	seed=19
16	1,2,6,7,8,9,10,11,13,15,16,17,19,21,22,24,	883	seed=20
16	0,2,6,9,11,12,13,15,16,17,18,19,20,21,22,25,	769	seed=21
16	0,1,2,4,5,6,8,10,11,13,14,16,18,19,24,25,	926	seed=22
16	0,3,8,9,10,11,12,13,14,15,16,18,20,23,24,26,	904	seed=23
16	0,1,2,3,4,6,9,11,12,17,18,19,21,23,24,26,	819	seed=24
16	4,5,6,8,10,11,15,18,19,20,21,22,23,24,25,26,	919	seed=25
16	0,5,6,7,8,9,14,15,16,17,18,20,21,24,25,26,	982	seed=26
16	0,2,3,5,6,7,9,12,14,16,18,19,20,23,24,26,	957	seed=27
16	0,2,4,5,6,11,12,15,16,17,18,19,21,22,24,26,	856	seed=28
16	0,3,8,10,11,12,13,15,17,19,20,21,22,23,25,26,	827	seed=29
16	2,4,5,6,7,12,13,15,16,18,19,20,21,22,24,26,	889	seed=30
16	0,1,2,4,5,9,12,14,15,16,17,20,21,23,25,26,	831	seed=31
16	0,1,2,3,4,5,9,10,14,15,17,18,20,21,22,25,	849	seed=32
16	0,3,4,9,10,11,12,13,15,17,20,21,22,24,25,26,	651	seed=33
16	1,4,5,6,9,11,13,15,16,17,18,21,22,23,24,26,	868	seed=34
16	2,3,5,8,9,10,12,13,14,15,16,17,18,19,21,23,	963	seed=35
16	0,3,6,7,10,11,12,14,16,17,18,19,20,21,22,24,	800	seed=36
16	1,4,5,7,11,12,13,14,16,17,19,21,22,23,25,26,	840	seed=37
16	0,1,2,3,4,5,8,13,15,17,18,19,20,23,24,26,	944	seed=38
16	5,6,7,8,10,11,13,14,15,16,19,20,21,22,23,25,	947	seed=39
16	1,5,8,9,10,12,14,15,16,17,18,19,20,24,25,26,	930	seed=40
16	1,2,3,4,6,7,10,11,12,17,19,20,22,24,25,26,	753	seed=41
16	0,6,7,8,9,10,13,14,16,17,18,20,22,23,24,25,	937	seed=42
16	0,2,3,6,7,8,9,13,15,16,18,19,20,22,24,26,	908	seed=43
16	0,1,2,3,6,7,10,11,12,15,18,19,21,22,25,26,	773	seed=44
16	1,4,6,9,10,12,13,14,15,16,18,19,21,22,24,26,	765	seed=45
16	0,1,2,3,4,6,7,8,12,17,18,20,21,22,24,26,	881	seed=46
16	0,2,5,8,9,10,11,12,13,15,17,19,20,22,24,26,	915	seed=47
16	0,1,3,5,7,9,10,11,14,15,17,19,20,21,23,25,	906	seed=48
16	1,2,4,5,6,7,9,10,13,16,17,18,21,24,25,26,	898	seed=49
16	0,1,2,3,4,7,10,11,12,13,16,18,20,22,24,25,	682	seed=50
16	2,3,4,5,6,7,9,11,13,14,16,17,20,21,22,25,	904	seed=51
16	1,2,5,6,7,8,9,10,11,13,14,20,21,22,24,25,	973	seed=52
16	0,1,2,3,5,6,8,9,10,12,17,19,20,21,23,26,	940	seed=53
16	2,3,4,5,6,9,10,11,13,14,17,18,21,22,23,26,	900	seed=54
16	0,1,2,3,6,7,8,10,11,12,15,16,19,20,25,26,	869	seed=55
16	0,2,4,7,8,9,10,11,12,18,19,20,21,23,25,26,	907	seed=56
16	2,6,8,9,10,15,16,17,18,19,21,22,23,24,25,26,	873	seed=57
16	0,1,2,4,5,7,8,9,11,12,14,15,19,21,24,26,	962	seed=58
16	3,4,6,9,10,11,12,13,14,15,16,17,20,21,23,26,	749	seed=59
16	2,5,7,8,9,11,12,14,15,16,17,18,19,20,22,23,	989	seed=60
16	0,1,2,4,5,6,9,11,12,13,16,17,21,23,24,26,	866	seed=61
16	2,3,5,6,7,8,9,11,12,13,14,16,18,21,23,25,	1006	seed=62
16	0,2,3,5,9,10,11,13,14,15,16,17,19,20,25,26,	843	seed=63
16	0,2,3,4,5,8,9,11,12,16,17,18,20,22,23,25,	971	seed=64
16	0,1,5,6,7,8,9,13,14,15,18,19,20,22,24,25,	984	seed=65
16	0,1,3,4,8,9,10,12,13,14,16,17,21,22,23,26,	867	seed=66
16	1,2,3,4,5,7,8,11,14,17,18,19,22,23,24,26,	987	seed=67
16	0,1,2,3,7,9,10,12,16,17,18,21,22,23,24,26,	766	seed=68
16	0,1,3,4,6,7,9,10,12,13,16,17,18,19,23,26,	845	seed=69
16	0,1,4,5,6,7,10,11,13,14,16,17,19,21,23,25,	881	seed=70
16	1,4,5,6,7,11,12,13,14,15,18,19,21,22,23,25,	880	seed=71
16	0,1,4,6,9,10,12,15,16,17,19,20,21,24,25,26,	708	seed=72
16	0,1,4,5,10,11,12,13,14,15,18,19,21,22,25,26,	817	seed=73
16	0,1,2,3,4,6,7,8,9,10,11,15,17,21,22,24,	903	seed=74
16	0,3,4,7,9,10,11,12,13,15,17,18,19,20,21,22,	771	seed=75
16	1,2,3,6,9,10,11,12,15,16,17,18,19,21,22,24,	785	seed=76
16	0,2,3,5,6,8,10,11,12,14,15,16,17,18,19,26,	951	seed=77
16	0,1,5,6,7,9,10,11,13,14,15,16,20,22,23,26,	900	seed=78
16	2,7,9,11,12,14,15,16,17,18,21,22,23,24,25,26,	742	seed=79
16	0,1,2,3,4,7,8,10,11,12,13,14,15,19,21,23,	895	seed=80
16	1,3,6,7,8,9,10,11,12,16,19,21,22,23,24,25,	924	seed=81
16	0,1,2,3,4,5,7,10,15,16,20,21,22,23,24,26,	856	seed=82
16	0,2,4,6,9,12,13,14,16,17,18,19,21,22,24,26,	795	seed=83
16	0,1,3,4,6,7,8,13,14,15,17,18,19,22,25,26,	890	seed=84
16	1,3,4,5,6,9,11,12,15,17,18,19,22,24,25,26,	900	seed=85
16	0,1,5,6,7,8,10,11,12,14,17,18,19,20,24,25,	958	seed=86
16	0,1,2,3,4,7,8,9,12,13,14,16,19,20,25,26,	880	seed=87
16	0,1,2,4,5,9,11,13,15,16,17,18,20,24,25,26,	847	seed=88
16	1,2,4,6,7,10,11,12,13,14,15,17,18,23,25,26,	711	seed=89
16	0,2,4,5,6,7,9,11,13,17,19,20,21,22,25,26,	916	seed=90
16	0,1,3,4,5,7,10,11,14,15,17,19,20,22,23,24,	895	seed=91
16	1,3,4,6,8,9,10,11,13,14,16,17,18,20,23,24,	912	seed=92
16	0,1,3,4,5,7,8,11,13,14,19,21,22,23,24,26,	969	seed=93
16	1,2,3,5,6,7,8,11,12,14,15,16,19,21,23,24,	976	seed=94
16	0,2,3,5,6,8,9,14,15,17,18,19,21,23,24,26,	972	seed=95
16	2,3,7,8,9,10,13,15,16,17,19,20,22,24,25,26,	864	seed=96
16	0,1,2,4,5,6,7,12,14,18,19,20,21,22,23,26,	907	seed=97
16	0,1,2,5,6,8,10,12,13,14,16,18,19,21,24,26,	920	seed=98
16	0,2,3,4,6,7,9,10,14,15,18,19,21,22,25,26,	833	seed=99
16	1,2,5,6,8,9,10,12,14,17,18,19,20,21,25,26,	943	seed=100
18	0,1,2,4,5,7,9,10,11,12,14,15,16,18,22,23,24,26,	908	seed=1
18	0,1,3,6,8,9,10,12,14,15,16,18,19,21,22,24,25,26,	884	seed=2
18	1,2,3,4,5,8,10,12,15,16,17,18,20,21,22,23,25,26,	945	seed=3
18	0,2,3,4,6,7,8,10,12,15,16,17,18,19,21,22,24,26,	891	seed=4
18	0,1,2,6,7,8,9,10,13,14,15,17,20,21,22,23,25,26,	920	seed=5
18	0,1,2,4,5,6,9,11,13,14,15,16,17,20,21,22,25,26,	854	seed=6
18	1,3,4,5,8,10,11,12,14,15,18,19,20,21,22,24,25,26,	934	seed=7
18	0,1,2,3,4,6,8,9,10,11,13,14,15,19,22,23,24,26,	897	seed=8
18	0,1,3,5,7,8,9,10,11,12,17,18,19,20,22,23,24,25,	1003	seed=9
18	0,1,4,6,7,8,9,10,11,12,15,16,17,18,20,21,23,25,	928	seed=10
18	0,2,4,5,6,7,8,10,12,13,15,17,19,20,22,23,24,26,	959	seed=11
18	0,1,2,3,5,6,7,8,9,11,15,16,19,20,21,24,25,26,	978	seed=12
18	0,1,2,3,4,5,6,9,10,13,16,18,19,20,21,24,25,26,	894	seed=13
18	0,2,3,4,5,7,8,9,10,12,13,15,16,17,19,20,25,26,	961	seed=14
18	0,3,4,5,6,7,9,11,13,14,15,16,17,18,20,22,23,24,	939	seed=15
18	0,1,2,3,4,5,9,11,12,13,14,15,17,18,19,20,22,24,	905	seed=16
18	0,1,3,6,8,9,10,13,14,15,16,17,18,19,20,22,24,25,	884	seed=17
18	0,1,2,3,4,5,6,7,9,11,12,14,15,18,20,23,25,26,	931	seed=18
18	0,3,4,6,7,9,11,12,13,14,15,16,17,19,21,23,25,26,	854	seed=19
18	1,2,6,7,8,9,10,11,13,15,16,17,19,21,22,23,24,25,	914	seed=20
18	0,2,4,6,9,11,12,13,14,15,16,17,18,19,20,21,22,25,	803	seed=21
18	0,1,2,4,5,6,8,9,10,11,13,14,16,18,19,24,25,26,	952	seed=22
18	0,1,3,7,8,9,10,11,12,13,14,15,16,18,20,23,24,26,	940	seed=23
18	0,1,2,3,4,6,9,11,12,16,17,18,19,21,23,24,25,26,	828	seed=24
18	2,4,5,6,8,10,11,14,15,18,19,20,21,22,23,24,25,26,	943	seed=25
18	0,5,6,7,8,9,11,14,15,16,17,18,19,20,21,24,25,26,	986	seed=26
18	0,2,3,5,6,7,8,9,11,12,14,16,18,19,20,23,24,26,	1012	seed=27
18	0,2,4,5,6,7,11,12,14,15,16,17,18,19,21,22,24,26,	904	seed=28
18	0,2,3,4,8,10,11,12,13,15,17,19,20,21,22,23,25,26,	842	seed=29
18	2,4,5,6,7,11,12,13,14,15,16,18,19,20,21,22,24,26,	902	seed=30
18	0,1,2,4,5,6,9,11,12,14,15,16,17,20,21,23,25,26,	874	seed=31
18	0,1,2,3,4,5,8,9,10,13,14,15,17,18,20,21,22,25,	953	seed=32
18	0,1,2,3,4,9,10,11,12,13,15,17,20,21,22,24,25,26,	664	seed=33
18	1,4,5,6,9,10,11,13,15,16,17,18,19,21,22,23,24,26,	899	seed=34
18	2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,21,23,	969	seed=35
18	0,3,5,6,7,8,10,11,12,14,16,17,18,19,20,21,22,24,	987	seed=36
18	1,2,4,5,7,11,12,13,14,16,17,19,21,22,23,24,25,26,	880	seed=37
18	0,1,2,3,4,5,8,12,13,15,17,18,19,20,22,23,24,26,	955	seed=38
18	5,6,7,8,10,11,13,14,15,16,17,19,20,21,22,23,25,26,	950	seed=39
18	1,5,6,8,9,10,12,13,14,15,16,17,18,19,20,24,25,26,	942	seed=40
18	1,2,3,4,6,7,10,11,12,13,17,19,20,21,22,24,25,26,	763	seed=41
18	0,1,5,6,7,8,9,10,13,14,16,17,18,20,22,23,24,25,	1001	seed=42
18	0,2,3,6,7,8,9,13,15,16,18,19,20,21,22,23,24,26,	945	seed=43
18	0,1,2,3,6,7,9,10,11,12,15,18,19,21,22,24,25,26,	834	seed=44
18	1,4,6,8,9,10,12,13,14,15,16,18,19,20,21,22,24,26,	866	seed=45
18	0,1,2,3,4,6,7,8,11,12,13,17,18,20,21,22,24,26,	899	seed=46
18	0,2,3,5,8,9,10,11,12,13,15,17,19,20,22,23,24,26,	951	seed=47
18	0,1,3,4,5,7,9,10,11,13,14,15,17,19,20,21,23,25,	911	seed=48
18	1,2,4,5,6,7,8,9,10,12,13,16,17,18,21,24,25,26,	974	seed=49
18	0,1,2,3,4,6,7,10,11,12,13,16,18,20,21,22,24,25,	744	seed=50
18	2,3,4,5,6,7,9,11,13,14,15,16,17,19,20,21,22,25,	930	seed=51
18	1,2,5,6,7,8,9,10,11,13,14,16,20,21,22,23,24,25,	986	seed=52
18	0,1,2,3,5,6,8,9,10,12,13,14,17,19,20,21,23,26,	953	seed=53
18	0,2,3,4,5,6,9,10,11,13,14,17,18,21,22,23,25,26,	908	seed=54
18	0,1,2,3,6,7,8,10,11,12,14,15,16,19,20,21,25,26,	892	seed=55
18	0,2,4,7,8,9,10,11,12,17,18,19,20,21,22,23,25,26,	915	seed=56
18	2,4,6,8,9,10,12,15,16,17,18,19,21,22,23,24,25,26,	886	seed=57
18	0,1,2,4,5,6,7,8,9,11,12,14,15,19,21,23,24,26,	985	seed=58
18	0,3,4,5,6,9,10,11,12,13,14,15,16,17,20,21,23,26,	882	seed=59
18	2,5,7,8,9,11,12,14,15,16,17,18,19,20,22,23,24,26,	994	seed=60
18	0,1,2,4,5,6,8,9,11,12,13,16,17,20,21,23,24,26,	945	seed=61
18	2,3,5,6,7,8,9,11,12,13,14,15,16,18,21,22,23,25,	1010	seed=62
18	0,2,3,4,5,7,9,10,11,13,14,15,16,17,19,20,25,26,	909	seed=63
18	0,2,3,4,5,8,9,11,12,15,16,17,18,20,22,23,25,26,	971	seed=64
18	0,1,3,5,6,7,8,9,13,14,15,18,19,20,21,22,24,25,	998	seed=65
18	0,1,3,4,8,9,10,11,12,13,14,16,17,19,21,22,23,26,	885	seed=66
18	0,1,2,3,4,5,6,7,8,11,14,17,18,19,22,23,24,26,	1002	seed=67
18	0,1,2,3,6,7,9,10,12,14,16,17,18,21,22,23,24,26,	831	seed=68
18	0,1,2,3,4,5,6,7,9,10,12,13,16,17,18,19,23,26,	954	seed=69
18	0,1,4,5,6,7,10,11,13,14,15,16,17,18,19,21,23,25,	898	seed=70
18	0,1,4,5,6,7,9,11,12,13,14,15,18,19,21,22,23,25,	941	seed=71
18	0,1,4,6,7,9,10,11,12,15,16,17,19,20,21,24,25,26,	795	seed=72
18	0,1,3,4,5,10,11,12,13,14,15,18,19,21,22,24,25,26,	865	seed=73
18	0,1,2,3,4,6,7,8,9,10,11,15,17,18,21,22,24,25,	925	seed=74
18	0,1,3,4,7,9,10,11,12,13,15,17,18,19,20,21,22,23,	800	seed=75
18	1,2,3,5,6,9,10,11,12,15,16,17,18,19,20,21,22,24,	907	seed=76
18	0,2,3,5,6,8,10,11,12,13,14,15,16,17,18,19,23,26,	971	seed=77
18	0,1,5,6,7,9,10,11,13,14,15,16,17,20,22,23,25,26,	905	seed=78
18	2,7,9,10,11,12,14,15,16,17,18,20,21,22,23,24,25,26,	760	seed=79
18	0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,19,21,23,	982	seed=80
18	1,3,6,7,8,9,10,11,12,15,16,19,20,21,22,23,24,25,	926	seed=81
18	0,1,2,3,4,5,7,8,10,13,15,16,20,21,22,23,24,26,	965	seed=82
18	0,2,4,5,6,9,11,12,13,14,16,17,18,19,21,22,24,26,	912	seed=83
18	0,1,2,3,4,6,7,8,11,13,14,15,17,18,19,22,25,26,	909	seed=84
18	1,3,4,5,6,7,9,11,12,13,15,17,18,19,22,24,25,26,	941	seed=85
18	0,1,2,5,6,7,8,10,11,12,14,17,18,19,20,22,24,25,	972	seed=86
18	0,1,2,3,4,7,8,9,12,13,14,16,17,18,19,20,25,26,	914	seed=87
18	0,1,2,4,5,9,10,11,13,15,16,17,18,20,23,24,25,26,	867	seed=88
18	1,2,4,6,7,8,9,10,11,12,13,14,15,17,18,23,25,26,	924	seed=89
18	0,2,4,5,6,7,9,11,13,17,18,19,20,21,22,24,25,26,	940	seed=90
18	0,1,3,4,5,7,10,11,13,14,15,17,18,19,20,22,23,24,	915	seed=91
18	1,3,4,6,8,9,10,11,13,14,16,17,18,20,21,23,24,25,	918	seed=92
18	0,1,3,4,5,7,8,9,11,13,14,17,19,21,22,23,24,26,	992	seed=93
18	1,2,3,4,5,6,7,8,11,12,14,15,16,19,21,23,24,26,	976	seed=94
18	0,2,3,5,6,8,9,11,14,15,17,18,19,21,23,24,25,26,	978	seed=95
18	2,3,7,8,9,10,13,14,15,16,17,18,19,20,22,24,25,26,	915	seed=96
18	0,1,2,4,5,6,7,9,12,14,15,18,19,20,21,22,23,26,	944	seed=97
18	0,1,2,4,5,6,8,10,12,13,14,16,18,19,21,22,24,26,	929	seed=98
18	0,2,3,4,6,7,8,9,10,14,15,18,19,21,22,24,25,26,	928	seed=99
18	1,2,5,6,8,9,10,12,14,16,17,18,19,20,21,23,25,26,	962	seed=100
20	0,1,2,4,5,7,9,10,11,12,13,14,15,16,18,20,22,23,24,26,	914	seed=1
20	0,1,3,5,6,8,9,10,12,13,14,15,16,18,19,21,22,24,25,26,	962	seed=2
20	1,2,3,4,5,8,10,11,12,15,16,17,18,19,20,21,22,23,25,26,	950	seed=3
20	0,2,3,4,5,6,7,8,10,12,13,15,16,17,18,19,21,22,24,26,	985	seed=4
20	0,1,2,5,6,7,8,9,10,13,14,15,17,18,20,21,22,23,25,26,	1002	seed=5
20	0,1,2,4,5,6,9,11,13,14,15,16,17,19,20,21,22,23,25,26,	899	seed=6
20	0,1,2,3,4,5,8,10,11,12,14,15,18,19,20,21,22,24,25,26,	950	seed=7
20	0,1,2,3,4,6,8,9,10,11,13,14,15,18,19,20,22,23,24,26,	924	seed=8
20	0,1,3,5,7,8,9,10,11,12,17,18,19,20,21,22,23,24,25,26,	1003	seed=9
20	0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,20,21,23,25,	945	seed=10
20	0,2,4,5,6,7,8,9,10,12,13,15,16,17,19,20,22,23,24,26,	983	seed=11
20	0,1,2,3,5,6,7,8,9,11,13,15,16,19,20,21,23,24,25,26,	995	seed=12
20	0,1,2,3,4,5,6,8,9,10,13,14,16,18,19,20,21,24,25,26,	961	seed=13
20	0,1,2,3,4,5,7,8,9,10,12,13,14,15,16,17,19,20,25,26,	971	seed=14
20	0,2,3,4,5,6,7,9,11,13,14,15,16,17,18,19,20,22,23,24,	968	seed=15
20	0,1,2,3,4,5,6,8,9,11,12,13,14,15,17,18,19,20,22,24,	977	seed=16
20	0,1,3,4,6,8,9,10,12,13,14,15,16,17,18,19,20,22,24,25,	895	seed=17
20	0,1,2,3,4,5,6,7,9,11,12,14,15,17,18,20,21,23,25,26,	935	seed=18
20	0,3,4,6,7,9,11,12,13,14,15,16,17,19,21,22,23,24,25,26,	866	seed=19
20	1,2,5,6,7,8,9,10,11,13,15,16,17,19,20,21,22,23,24,25,	985	seed=20
20	0,2,4,6,9,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,	837	seed=21
20	0,1,2,4,5,6,8,9,10,11,13,14,16,17,18,19,22,24,25,26,	959	seed=22
20	0,1,3,4,7,8,9,10,11,12,13,14,15,16,18,20,21,23,24,26,	943	seed=23
20	0,1,2,3,4,6,9,10,11,12,15,16,17,18,19,21,23,24,25,26,	837	seed=24
20	2,4,5,6,8,10,11,12,14,15,17,18,19,20,21,22,23,24,25,26,	950	seed=25
20	0,1,2,5,6,7,8,9,11,14,15,16,17,18,19,20,21,24,25,26,	992	seed=26
20	0,2,3,5,6,7,8,9,10,11,12,14,15,16,18,19,20,23,24,26,	1012	seed=27
20	0,1,2,4,5,6,7,11,12,14,15,16,17,18,19,21,22,24,25,26,	906	seed=28
20	0,2,3,4,5,6,8,10,11,12,13,15,17,19,20,21,22,23,25,26,	947	seed=29
20	2,3,4,5,6,7,11,12,13,14,15,16,17,18,19,20,21,22,24,26,	928	seed=30
20	0,1,2,4,5,6,9,11,12,13,14,15,16,17,20,21,22,23,25,26,	882	seed=31
20	0,1,2,3,4,5,7,8,9,10,11,13,14,15,17,18,20,21,22,25,	993	seed=32
20	0,1,2,3,4,8,9,10,11,12,13,14,15,17,20,21,22,24,25,26,	857	seed=33
20	1,4,5,6,8,9,10,11,13,15,16,17,18,19,21,22,23,24,25,26,	954	seed=34
20	1,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,21,23,25,	970	seed=35
20	0,3,5,6,7,8,9,10,11,12,14,16,17,18,19,20,21,22,24,25,	1004	seed=36
20	0,1,2,4,5,7,11,12,13,14,15,16,17,19,21,22,23,24,25,26,	891	seed=37
20	0,1,2,3,4,5,8,12,13,14,15,17,18,19,20,21,22,23,24,26,	965	seed=38
20	0,5,6,7,8,10,11,12,13,14,15,16,17,19,20,21,22,23,25,26,	959	seed=39
20	1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,24,25,26,	983	seed=40
20	1,2,3,4,6,7,10,11,12,13,15,17,19,20,21,22,23,24,25,26,	799	seed=41
20	0,1,3,5,6,7,8,9,10,13,14,16,17,18,20,22,23,24,25,26,	1014	seed=42
20	0,2,3,5,6,7,8,9,10,13,15,16,18,19,20,21,22,23,24,26,	1008	seed=43
20	0,1,2,3,4,6,7,9,10,11,12,15,18,19,20,21,22,24,25,26,	839	seed=44
20	1,2,3,4,6,8,9,10,12,13,14,15,16,18,19,20,21,22,24,26,	890	seed=45
20	0,1,2,3,4,6,7,8,9,11,12,13,17,18,19,20,21,22,24,26,	930	seed=46
